7eab6c1_477	1	1	0.8310068650453638	Para la ejecucion de cualquier tipo de obra, deberan tomarse las medidas adecuadas para evitar daños y perjuicios a las personas o bienes; cuando por la ejecucion de una obra se produzcan daños o perjuicios en cualquier persona o servicio publico o privado, la reparacion inmediata de los daños, sera por cuenta del propietario y/o constructor de la obra
05f5ba4_93	2	2	0.8245635066006453	Las obligaciones de resarcimiento de daños o indemnizacion de los perjuicios a cargo de quien sean declarados responsables
6ed3f17_80	3	3	0.8237977096110529	OBLIGACION DE REPARAR EL DAÑO: deber legal de restablecer el medio ambiente o ecosistema, a la situacion anterior al hecho, que lo contamino, deterioro o destruyo, cuando sea posible, o en dar una compensacion a la sociedad en su conjunto, que sustituya de la forma mas adecuada y equitativa el daño, ademas de indemnizar a particulares por perjuicios conexos con el daño ambiental, segun corresponda
b8ff0ff_75	4	4	0.8237977096110529	Obligacion de Reparar el Daño: Deber legal de restablecer el medio ambiente o ecosistema, a la situacion anterior al hecho, que lo contamino, deterioro o destruyo, cuando sea posible, o en dar una compensacion a la sociedad en su conjunto, que sustituya de la forma mas adecuada y equitativa el daño, ademas de indemnizar a particulares por perjuicios conexos con el daño ambiental, segun corresponda
b821b11_210	5	5	0.8079722748424869	En todo caso, siempre que se sancione una infraccion de las establecidas en la presente ley, se ordenara al infractor la restauracion o reparacion del daño causado, señalado un plazo para que se realicen las obras necesarias
1adb72b_2084	6	6	0.8054999776405007	El fiel cumplimiento por parte del afianzado de su obligación de reparar incluirá todos los riesgos por daños al medio ambiente que sean consecuencia de los actos u omisiones del titular del proyecto o actividad o de las personas de las cuales legalmente responde
630f624_7	7	7	0.8031789723940946	La necesidad de reparar y reponer los componentes del medio que sean dañados hasta obtener una calidad similar a la que tenía con anterioridad al impacto causado o, en caso de ser posible restablecer sus propiedades básicas
eefa471_128	8	8	0.8014868101845536	a) La gravedad causada al medio ambiente, la salud o calidad de vida de las personas) Las acciones que el infractor tomo para reparar el daño causado;
e2bb383_15	9	9	0.7976672770684524	La contaminacion del medio ambiente o alguno de sus elementos, que impida o deteriore sus procesos esenciales, conllevara como obligacion la restauracion o compensacion del daño causado debiendo indemnizar al Estado o a cualquier persona natural o juridica afectada en su caso, conforme a la presente Ley; (
375de0b_152	10	10	0.7835876785479282	En estos casos, el usuario tendra que reponer el material dañado con un ejemplar igual o mas actual
